Environmental criteria (T/F),Publication Year,Close Year,Municipality,District,Submission deadline (range),Diference between close and signing dates,Execution deadline (days),Base Bid Price Class,I. price Class,Award criteria class,Classification of the multifactor criteria (%),Published in the EU journal,Number of bidders,Signing Year,Signing Month,Signing Day,Closing Date Year,Closing Date Month,Closing Date Day,E. price Class,Difference between the effective and initial price class,engineering work,refurbishment work,surfaced work,Justification for deadline change
0,2020,2021,Santarém,Santarém,Very Short,Medium Days,Medium Deadline,Medium Price,Medium Price,0,0.0,False,0.15000000000000002,2020,6,2,2021,10,20,Medium Price,Low Difference,0,0,0,delay
0,2020,2020,Viana do Castelo,Viana do Castelo,Very Long,Few Days,Short Deadline,Medium Price,Low Price,2,1.0,False,0.17500000000000002,2020,6,1,2020,12,18,Low Price,Medium Difference,0,1,0,need material
0,2020,2021,Póvoa de Lanhoso,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.2,2020,5,26,2021,1,28,Low Price,Low Difference,0,0,1,suspension
0,2020,2021,Loulé,Faro,Very Short,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.35000000000000003,2020,5,28,2021,3,8,Low Price,Medium Difference,0,0,0,specify
0,2020,2020,Aveiro,Aveiro,Medium,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.07500000000000001,2020,4,8,2020,12,17,Low Price,Medium Difference,0,0,0,pandemic
0,2019,2020,Loures,Lisboa,Medium,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.275,2020,3,20,2020,7,29,Low Price,Medium Difference,0,0,0,change
1,2020,2021,Albufeira,Faro,Short,Few Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.07500000000000001,2020,5,22,2021,4,23,Low Price,Medium Difference,0,0,0,carry delivery
0,2020,2021,Santo Tirso,Porto,Medium,Few Days,Long Deadline,Medium Price,Medium Price,1,0.5,False,0.2,2020,5,19,2021,3,10,Medium Price,Low Difference,0,0,0,Not Specified
0,2020,2021,Leiria,Leiria,Short,Medium Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.0,2020,5,14,2021,5,25,Low Price,High Difference,0,0,0,specify
1,2020,2020,Lisboa,Lisboa,Very Short,Few Days,Short Deadline,Low Price,Low Price,2,1.0,False,0.30000000000000004,2020,3,31,2020,9,3,Low Price,Medium Difference,0,0,0,Not Specified
0,2020,2020,Leiria,Leiria,Very Short,Few Days,Medium Deadline,Medium Price,Low Price,2,1.0,False,0.25,2020,4,30,2020,10,26,Low Price,Medium Difference,0,0,1,specify
0,2020,2021,Pombal,Leiria,Very Long,Medium Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.225,2020,5,21,2021,11,12,Low Price,Medium Difference,0,0,1,Not Specified
0,2020,2021,Arcos de Valdevez,Viana do Castelo,Short,Medium Days,Long Deadline,Medium Price,Medium Price,1,0.5,False,0.1,2020,5,19,2021,12,15,Medium Price,High Difference,0,0,1,specify
0,2020,2021,Velas,Região Autónoma dos Açores,Very Short,Medium Days,Medium Deadline,Low Price,Low Price,1,0.75,False,0.1,2020,5,22,2021,7,23,Low Price,Low Difference,0,0,0,change
0,2020,2021,Velas,Região Autónoma dos Açores,Very Short,Medium Days,Medium Deadline,Medium Price,Medium Price,1,0.75,False,0.05,2020,5,22,2021,8,26,Medium Price,Medium Difference,1,0,0,change
0,2020,2021,Matosinhos,Porto,Very Short,Few Days,Short Deadline,Medium Price,Low Price,1,0.4,False,0.275,2020,5,20,2021,3,9,Medium Price,Low Difference,0,0,0,Not Specified
0,2020,2021,Ílhavo,Aveiro,Medium,Medium Days,Long Deadline,High Price,Medium Price,1,0.75,False,0.07500000000000001,2020,3,11,2021,7,21,Medium Price,Low Difference,0,0,0,change
0,2019,2021,Anadia,Aveiro,Short,Medium Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.125,2020,2,26,2021,5,3,Low Price,Medium Difference,0,0,0,specify
0,2019,2020,Póvoa de Lanhoso,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.125,2020,5,6,2020,6,2,Low Price,Medium Difference,0,0,1,Not Specified
0,2019,2020,Póvoa de Lanhoso,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.125,2020,5,6,2020,8,31,Low Price,Medium Difference,0,0,1,carry delivery
0,2019,2020,Póvoa de Lanhoso,Braga,Very Short,Few Days,Short Deadline,Low Price,Low Price,1,0.6,False,0.15000000000000002,2020,5,6,2020,7,22,Low Price,Medium Difference,0,0,1,Not Specified
0,2020,2020,Valpaços,Vila Real,Short,Few Days,Medium Deadline,Low Price,Low Price,2,1.0,False,0.17500000000000002,2020,5,5,2020,9,30,Low Price,High Difference,0,0,1,Not Specified
